date_key,full_date,calendar_year,calendar_quarter,month_number,month_name,week_of_year
20250101,2025-01-01,2025,1,1,January,0
20250102,2025-01-02,2025,1,1,January,0
20250103,2025-01-03,2025,1,1,January,0
20250104,2025-01-04,2025,1,1,January,0
20250105,2025-01-05,2025,1,1,January,1
20250106,2025-01-06,2025,1,1,January,1
20250107,2025-01-07,2025,1,1,January,1
20250108,2025-01-08,2025,1,1,January,1
20250109,2025-01-09,2025,1,1,January,1
20250110,2025-01-10,2025,1,1,January,1
20250111,2025-01-11,2025,1,1,January,1
20250112,2025-01-12,2025,1,1,January,2
20250113,2025-01-13,2025,1,1,January,2
20250114,2025-01-14,2025,1,1,January,2
20250115,2025-01-15,2025,1,1,January,2
20250116,2025-01-16,2025,1,1,January,2
20250117,2025-01-17,2025,1,1,January,2
20250118,2025-01-18,2025,1,1,January,2
20250119,2025-01-19,2025,1,1,January,3
20250120,2025-01-20,2025,1,1,January,3
20250121,2025-01-21,2025,1,1,January,3
20250122,2025-01-22,2025,1,1,January,3
20250123,2025-01-23,2025,1,1,January,3
20250124,2025-01-24,2025,1,1,January,3
20250125,2025-01-25,2025,1,1,January,3
20250126,2025-01-26,2025,1,1,January,4
20250127,2025-01-27,2025,1,1,January,4
20250128,2025-01-28,2025,1,1,January,4
20250129,2025-01-29,2025,1,1,January,4
20250130,2025-01-30,2025,1,1,January,4
20250131,2025-01-31,2025,1,1,January,4
20250201,2025-02-01,2025,1,2,February,4
20250202,2025-02-02,2025,1,2,February,5
20250203,2025-02-03,2025,1,2,February,5
20250204,2025-02-04,2025,1,2,February,5
20250205,2025-02-05,2025,1,2,February,5
20250206,2025-02-06,2025,1,2,February,5
20250207,2025-02-07,2025,1,2,February,5
20250208,2025-02-08,2025,1,2,February,5
20250209,2025-02-09,2025,1,2,February,6
20250210,2025-02-10,2025,1,2,February,6
20250211,2025-02-11,2025,1,2,February,6
20250212,2025-02-12,2025,1,2,February,6
20250213,2025-02-13,2025,1,2,February,6
20250214,2025-02-14,2025,1,2,February,6
20250215,2025-02-15,2025,1,2,February,6
20250216,2025-02-16,2025,1,2,February,7
20250217,2025-02-17,2025,1,2,February,7
20250218,2025-02-18,2025,1,2,February,7
20250219,2025-02-19,2025,1,2,February,7
20250220,2025-02-20,2025,1,2,February,7
20250221,2025-02-21,2025,1,2,February,7
20250222,2025-02-22,2025,1,2,February,7
20250223,2025-02-23,2025,1,2,February,8
20250224,2025-02-24,2025,1,2,February,8
20250225,2025-02-25,2025,1,2,February,8
20250226,2025-02-26,2025,1,2,February,8
20250227,2025-02-27,2025,1,2,February,8
20250228,2025-02-28,2025,1,2,February,8
20250301,2025-03-01,2025,1,3,March,8
20250302,2025-03-02,2025,1,3,March,9
20250303,2025-03-03,2025,1,3,March,9
20250304,2025-03-04,2025,1,3,March,9
20250305,2025-03-05,2025,1,3,March,9
20250306,2025-03-06,2025,1,3,March,9
20250307,2025-03-07,2025,1,3,March,9
20250308,2025-03-08,2025,1,3,March,9
20250309,2025-03-09,2025,1,3,March,10
20250310,2025-03-10,2025,1,3,March,10
20250311,2025-03-11,2025,1,3,March,10
20250312,2025-03-12,2025,1,3,March,10
20250313,2025-03-13,2025,1,3,March,10
20250314,2025-03-14,2025,1,3,March,10
20250315,2025-03-15,2025,1,3,March,10
20250316,2025-03-16,2025,1,3,March,11
20250317,2025-03-17,2025,1,3,March,11
20250318,2025-03-18,2025,1,3,March,11
20250319,2025-03-19,2025,1,3,March,11
20250320,2025-03-20,2025,1,3,March,11
20250321,2025-03-21,2025,1,3,March,11
20250322,2025-03-22,2025,1,3,March,11
20250323,2025-03-23,2025,1,3,March,12
20250324,2025-03-24,2025,1,3,March,12
20250325,2025-03-25,2025,1,3,March,12
20250326,2025-03-26,2025,1,3,March,12
20250327,2025-03-27,2025,1,3,March,12
20250328,2025-03-28,2025,1,3,March,12
20250329,2025-03-29,2025,1,3,March,12
20250330,2025-03-30,2025,1,3,March,13
20250331,2025-03-31,2025,1,3,March,13
20250401,2025-04-01,2025,2,4,April,13
20250402,2025-04-02,2025,2,4,April,13
20250403,2025-04-03,2025,2,4,April,13
20250404,2025-04-04,2025,2,4,April,13
20250405,2025-04-05,2025,2,4,April,13
20250406,2025-04-06,2025,2,4,April,14
20250407,2025-04-07,2025,2,4,April,14
20250408,2025-04-08,2025,2,4,April,14
20250409,2025-04-09,2025,2,4,April,14
20250410,2025-04-10,2025,2,4,April,14
20250411,2025-04-11,2025,2,4,April,14
20250412,2025-04-12,2025,2,4,April,14
20250413,2025-04-13,2025,2,4,April,15
20250414,2025-04-14,2025,2,4,April,15
20250415,2025-04-15,2025,2,4,April,15
20250416,2025-04-16,2025,2,4,April,15
20250417,2025-04-17,2025,2,4,April,15
20250418,2025-04-18,2025,2,4,April,15
20250419,2025-04-19,2025,2,4,April,15
20250420,2025-04-20,2025,2,4,April,16
20250421,2025-04-21,2025,2,4,April,16
20250422,2025-04-22,2025,2,4,April,16
